Linhas,Col. 1,Col. 2,Col. 3,Col. 4,Col. 5,Col. 6,Col. 7
1,1,1,1,1,1,1,1
2,1,4,3,4,4,1,4
3,1,4,2,4,4,1,4
4,1,1,4,1,1,1,1
5,1,3,5,3,3,1,3
6,1,2,7,2,2,1,2
7,1,2,6,2,2,1,2
8,1,3,8,3,3,1,3
9,3,4,1,3,3,3,4
10,3,1,3,2,2,3,1
11,3,1,2,2,2,3,1
12,3,4,4,3,3,3,4
13,3,2,5,1,1,3,2
14,3,3,7,4,4,3,3
15,3,3,6,4,4,3,3
16,3,2,8,1,1,3,2
17,2,3,1,2,1,2,3
18,2,2,3,3,4,2,2
19,2,2,2,3,4,2,2
20,2,3,4,2,1,2,3
21,2,1,5,4,3,2,1
22,2,4,7,1,2,2,4
23,2,4,6,1,2,2,4
24,2,1,8,4,3,2,1
25,4,2,1,4,3,4,2
26,4,3,3,1,2,4,3
27,4,3,2,1,2,4,3
28,4,2,4,4,3,4,2
29,4,4,5,2,1,4,4
30,4,1,7,3,4,4,1
31,4,1,6,3,4,4,1
32,4,4,8,2,1,4,4
33,5,2,1,4,2,5,2
34,5,3,3,1,3,5,3
35,5,3,2,1,3,5,3
36,5,2,4,4,2,5,2
37,5,4,5,2,4,5,4
38,5,1,7,3,1,5,1
39,5,1,6,3,1,5,1
40,5,4,8,2,4,5,4
41,7,3,1,2,4,7,3
42,7,2,3,3,1,7,2
43,7,2,2,3,1,7,2
44,7,3,4,2,4,7,3
45,7,1,5,4,2,7,1
46,7,4,7,1,3,7,4
47,7,4,6,1,3,7,4
48,7,1,8,4,2,7,1
49,6,4,1,3,2,6,4
50,6,1,3,2,3,6,1
51,6,1,2,2,3,6,1
52,6,4,4,3,2,6,4
53,6,2,5,1,4,6,2
54,6,3,7,4,1,6,3
55,6,3,6,4,1,6,3
56,6,2,8,1,4,6,2
57,8,1,1,1,4,8,1
58,8,4,3,4,1,8,4
59,8,4,2,4,1,8,4
60,8,1,4,1,4,8,1
61,8,3,5,3,2,8,3
62,8,2,7,2,3,8,2
63,8,2,6,2,3,8,2
64,8,3,8,3,2,8,3